word,syllables,actual_count,cmu_counts,category,phonetic,kaikki_counts,kaikki_ipa,kaikki_decision,kaikki_error
antagonism,an-tag-o-nism,4,5,suffix_ism,/ænˈtæɡəˌnɪzəm/,,/ænˈtæɡənɪzəm/,kaikki_no_count,
antemeridian,an-te-merid-i-an,5,6,vowel_sequence_suffix,/ˌæntəmɛˈɹɪdiən/,,,kaikki_no_count,
anthropomorphism,an-thro-po-mor-phism,5,6,suffix_ism,/ˌænθɹəpəˈmɔɹfɪzəm/,,/ˌænθɹəpəˈmɔɹfɪzəm/,kaikki_no_count,
antibiotic,an-tibi-ot-ic,4,5,other,/ˌæntɪbaɪˈɒtɪk/,,/ˌæn.ti.baɪˈɒt.ɪk/; /ˌæn.taɪ.baɪˈɒt.ɪk/; /ˌæn.taɪ.baɪˈɑ.tɪk/; [ˌɛən.taɪ.baɪˈɑ.ɾɪk]; /ˌæn.tə.baɪˈɑ.tɪk/; [ˌɛən.tə.baɪˈɑ.ɾɪk]; /ˌæn.ti.baɪˈɑ.tɪk/; [ˌɛən.ti.baɪˈɑ.ɾɪk],kaikki_no_count,
anxiety,anx-i-ety,3,4,suffix_ity_ety,/æŋˈzaɪəti/,,/ˌæŋ(ɡ)ˈzaɪ̯ɪti/; [ˌæŋ(ɡ)ˈzaɪ̯ɪtʰɪi̯]; /ˌæŋ(ɡ)ˈzaɪ̯ɪɾi/; [ˌæŋ(ɡ)ˈzaɪ̯ɪɾɪi̯]; /ˌeɪ̯ŋ(ɡ)ˈzaɪ̯ɪti/; [ˌeɪ̯ŋ(ɡ)ˈzaɪ̯ɪtʰɪi̯]; /ˌɛ̃ŋ(ɡ)ˈzaɪ̯ɪti/; [ˌɛ̃ŋ(ɡ)ˈzaɪ̯ɪtʰɪi̯]; /ˌeɪ̯ŋ(ɡ)ˈzaɪ̯ɪɾi/; [ˌeɪ̯ŋ(ɡ)ˈzaɪ̯ɪɾɪi̯]; [ˌɛ̃ŋ(ɡ)ˈzaɪ̯ɪɾɪi̯]; /ˌæŋ(ɡ)ˈzaɪ̯əti/; [ˌæŋ(ɡ)ˈzaɪ̯ətʰɪi̯]; /ˌæŋ(ɡ)ˈzaɪ̯əɾi/; [ˌæŋ(ɡ)ˈzaɪ̯əɾɪi̯]; /ˌeɪ̯ŋ(ɡ)ˈzaɪ̯əti/; [ˌeɪ̯ŋ(ɡ)ˈzaɪ̯ətʰɪi̯]; /ˌɛ̃ŋ(ɡ)ˈzaɪ̯əti/; [ˌɛ̃ŋ(ɡ)ˈzaɪ̯ətʰɪi̯]; /ˌeɪ̯ŋ(ɡ)ˈzaɪ̯əɾi/; [ˌeɪ̯ŋ(ɡ)ˈzaɪ̯əɾɪi̯]; [ˌɛ̃ŋ(ɡ)ˈzaɪ̯əɾɪi̯],kaikki_no_count,
aphorism,ap-ho-rism,3,4,suffix_ism,/ˈæfɚˌɪzəm/,,/ˈæfəɹɪz(ə)m/; /ˈæfəˌɹɪzəm/,kaikki_no_count,
apotheosis,apoth-e-o-sis,4,5,other,/əˌpɑθiˈoʊsəs/,,/əˌpɒθ.iːˈəʊ.sɪs/; /əˌpɑ.θiˈoʊ.sɪs/,kaikki_no_count,
appliances,ap-pli-ances,3,4,other,/ɐplˈaɪənsɪz/,,,kaikki_no_count,
aqueous,aque-ous,2,3,vowel_sequence_suffix,/ˈeɪkwiəs/,,/ˈæ.kwi.əs/; /ˈeɪ.kwi.əs/; /ˈɑ.kwi.əs/; /ˈa.kwi.əs/,kaikki_no_count,
arabian,ara-bi-an,3,4,vowel_sequence_suffix,/əˈɹeɪbiən/,,,kaikki_missing,
archeology,arche-ol-o-gy,4,5,other,/ˌɑɹkiˈɑlədʒi/,,/ˌɑː.kiːˈɒ.lə.d͡ʒi/; /ˌɑɹ.kiˈɑ.lə.d͡ʒi/,kaikki_no_count,
archetypal,ar-che-typ-al,4,3,other,/ˈɑɹkˈtaɪpəl/,,/ˈɑːkɪtaɪpəl/; /ˈɑɹkɪtaɪpəl/,kaikki_no_count,
archived,archived,1,2,other,/ˈɑɹˌkaɪvd/,,,kaikki_no_count,
areas,ar-eas,2,3,other,/ˈɛɹiəz/,,,kaikki_no_count,
argue,argue,1,2,other,/ˈɑɹɡju/,,/ˈɑː.ɡjuː/; /ˈɑɹ.ɡju/,kaikki_no_count,
arthurian,art-hu-rian,3,4,vowel_sequence_suffix,/ɑɹˈθʊɹiən/,,,kaikki_missing,
artistically,ar-tis-ti-cal-ly,5,4,adverb_ically_ally,/ɑɹˈtɪstɪkli/,,/ɑː(ɹ)ˈtɪstɪkli/; /ɑː(ɹ)ˈtɪstɪkəli/,kaikki_no_count,
ashamed,ashamed,1,2,other,/əˈʃeɪmd/,,/əˈʃeɪmd/,kaikki_no_count,
assiduous,as-sid-u-ous,4,3,vowel_sequence_suffix,/əˈsɪdwəs/,,/əˈsɪdjuːəs/; /əˈsɪd͡ʒuːəs/; /əˈsɪd͡ʒu.əs/,kaikki_no_count,
assiduously,as-sid-u-ous-ly,5,4,other,/əˈsɪdwəsli/,,,kaikki_no_count,
astigmatism,as-ti-gma-tism,4,5,suffix_ism,/əˈstɪɡməˌtɪzəm/,,/əˈstɪɡmətɪzm̩/,kaikki_no_count,
atavism,a-ta-vism,3,4,suffix_ism,/ˈætəvɪzəm/,,/ˈætəˌvɪzəm/; [ˈæɾəˌvɪzəm],kaikki_no_count,
atheism,athe-ism,2,3/4,suffix_ism,/ˈeɪθɪˌɪzəm/,,/ˈeɪ.θi.ɪ.zəm/,kaikki_no_count,
atheist,athe-ist,2,3,other,/ˈeɪθiəst/,,/ˈeɪθiɪst/,kaikki_no_count,
athleticism,at-hle-ti-cism,4,5,suffix_ism,/æθˈlɛtɪˌsɪzəm/,,/æθˈlɛtɪsɪzəm/,kaikki_no_count,
attributes,at-tributes,2,3,other,/ˈatɹɪbjˌuːts/,,,kaikki_no_count,
aug,aug,1,2,other,/ˈɔɡəst/,,,kaikki_no_count,
automatically,au-to-mat-i-cal-ly,6,5,adverb_ically_ally,/ˌɒːtəˈmætɪklɪ/,,/ˈɔːtəʊˌmæt.ɪ.k(ə.)li/; /ˈɔːtəˌmæt.ɪ.k(ə.)i/; /ˌɔː.təˈmæt.ɪ.k(ə.)li/; [ˌɔː.ɾəˈmæɾ.ɪ.k(ə.)li]; /ˌɑː.təˈmæt.ɪ.k(ə.)li/; [ˌɑː.ɾəˈmæɾ.ɪ.k(ə.)li],kaikki_no_count,
aviator,avi-a-tor,3,4,other,/ˈeɪviˌeɪtɚ/,,,kaikki_no_count,
