word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
during,no_safe_variant,/ˈdjʊəɹɪŋ/,,,us,us,0,3
question,no_safe_variant,/ˈkwɛstʃən/,,,uk|us,uk|us,6,2
again,no_safe_variant,/ɐɡˈɛn/,,,uk|us,uk|us,4,2
against,no_safe_variant,/ɐɡˈɛnst/,,,uk|us,uk|us,4,2
american,no_safe_variant,/ɐmˈɛɹɪkən/,,,us,us,0,2
might,has_us_only_but_conflict,/ˈmaɪt/,,/ˈmaɪt/,uk,uk,6,1
hand,has_us_only_but_conflict,/ˈhænd/,,/ˈhænd/,uk,uk,4,1
every,no_safe_variant,/ˈɛvɹɪ/,,,us,us,0,2
problem,has_us_only_but_conflict,/ˈpɹɑbləm/,,/ˈpɹɑbləm/,uk,uk,4,1
where,no_safe_variant,/ˈweə/,,,uk|us,uk|us,8,2
country,has_us_only_but_conflict,/ˈkʌntɹi/,,/ˈkʌntɹi/,uk,uk,8,1
great,has_us_only_but_conflict,/ˈɡɹeɪt/,,/ˈɡɹeɪt/,uk,uk,8,1
why,no_safe_variant,/ˈwaɪ/,,,us,us,0,2
while,no_safe_variant,/ˈwaɪl/,,,us,us,0,2
old,has_us_only_but_conflict,/ˈoʊld/,,/ˈoʊld/,uk,uk,8,1
family,no_safe_variant,/ˈfæməlɪ/,,,us,us,0,2
much,has_us_only_but_conflict,/ˈmʌtʃ/,,/ˈmʌtʃ/,uk,uk,8,1
most,has_uk_only_but_conflict,/ˈməʊst/,/ˈməʊst/,,us,us,6,2
really,no_safe_variant,/ˈɹɪəlɪ/,,,uk|us,uk|us,4,2
between,has_uk_only_but_conflict,/bɪtwˈiːn/,/bɪˈtwiːn/,,us,us,2,2
become,has_us_only_but_conflict,/bɪˈkʌm/,,/bɪˈkʌm/,uk,uk,4,1
three,has_us_only_but_conflict,/ˈθɹiː/,,/ˈθɹiː/,uk,uk,8,1
last,has_uk_only_but_conflict,/lɑːst/,/lɑːst/,,us,us,7,2
us,no_safe_variant,/ʌs/,,,us,us,0,2
through,has_us_only_but_conflict,/ˈθɹuː/,,/ˈθɹuː/,uk,uk,6,1
good,no_safe_variant,/ˈɡʊd/,,,us,us,0,2
tell,has_us_only_but_conflict,/ˈtɛl/,,/ˈtɛl/,uk,uk,9,1
only,has_us_only_but_conflict,/ˈoʊnli/,,/ˈoʊnli/,uk,uk,10,1
here,has_us_only_but_conflict,/ˈhiːɹ/,,/ˈhiːɹ/,uk,uk,12,1
man,has_us_only_but_conflict,/ˈmæn/,,/ˈmæn/,uk,uk,15,1
use,no_safe_variant,/ˈjuːs/,,,us,us,0,2
because,has_uk_only_but_conflict,/bɪkˈɒz/,/bɪˈkɵz/,,us,us,4,4
new,no_safe_variant,/ˈnjuː/,,,us,us,0,2
way,has_us_only_but_conflict,/ˈweɪ/,,/ˈweɪ/,uk,uk,14,1
want,has_uk_only_but_conflict,/ˈwɒnt/,/wɒnt/,,us,us,2,2
our,no_safe_variant,/ˈaʊə/,,,us,us,0,3
its,no_safe_variant,/ˈɪts/,,,us,us,0,2
other,has_us_only_but_conflict,/ˈʌðɚ/,,/ˈʌðɚ/,uk,uk,10,1
than,no_safe_variant,/ðæn/,,,us,us,0,2
your,no_safe_variant,/ˈjɔː/,,,us,us,0,2
him,no_safe_variant,/ˈhɪm/,,,us,us,0,2
just,has_uk_only_but_conflict,/dʒʌst/,/d͡ʒʌst/,,us,uk|us,8,2
into,has_uk_only_but_conflict,/ˈɪntʊ/,/ˈɪntuː/,,us,us,1,3
out,has_us_only_but_conflict,/ˈaʊt/,,/ˈaʊt/,uk,uk,12,1
people,has_us_only_but_conflict,/ˈpiːpəl/,,/ˈpiːpəl/,uk,uk,6,1
